French,marathi
salut,नमस्कार
partie,भाग
histoire,इतिहास
chercher,शोधणे
seulement,फक्त
police,पोलीस
pensais,मला वाटलं
aide,मदत
demande,विनंती
genre,लिंग
mois,महिना
frère,भाऊ
laisser,निघून जाणे
car,कारण
mettre,ठेवणे
aucun,काहीही नाही
laisse,एकटे सोडा
eux,त्यांना
ville,शहर
chaque,प्रत्येक
parlé,बोलणे
arrivé,पोहोचले
devrait,पाहिजे
bébé,बाळ
longtemps,बराच काळ
heures,तास
vont,जात आहेत
pendant,दरम्यान
revoir,निरोप
aucune,काहीही नाही
place,ठिकाण
parle,बोलणे
compris,समजले
savais,माहित होते
étaient,होते
attention,लक्ष
voici,येथे आहे
pourrais,करू शकतो
affaire,प्रकरण
donner,देणे
type,दयाळू
leurs,त्यांचे
donné,दिलेले
train,ट्रेन
corps,शरीर
endroit,ठिकाण
yeux,डोळे
façon,मार्ग
écoute,ऐका
dont,त्यापैकी
trouve,शोधा
premier,पहिला
perdu,हरवले
main,हात
première,पहिला
côté,बाजू
pouvoir,पॉवर
vieux,जुने
sois,असणे
tiens,धरा
matin,सकाळ
tellement,असे
enfant,मूल
point,बिंदू
venu,आले
suite,खालील
pardon,क्षमा करणे
venez,ये
devant,समोर
vers,दिशेने
minutes,मिनिटे
demandé,विनंती
chambre,बेडरूम
mis,ठेवणे
belle,सुंदर
droit,बरोबर
aimerais,आवडेल
aujourd'hui,आज
mari,नवरा
cause,कारण
enfin,शेवटी
espère,आशा
eau,पाणी
attendez,वाट पहा
parti,पार्टी
nouvelle,नवीन
boulot,नोकरी
arrêter,थांबा
dirait,होईल
terre,पृथ्वी
compte,खाते
donne,दिलेले
loin,दूर
fin,शेवट
croire,विश्वास ठेवणे
chérie,प्रिय
gros,चरबी
plutôt,त्याऐवजी
aura,असेल
filles,मुली
jouer,खेळा
bureau,डेस्क